node	Location
AB189123_FJ467493	Africa
AB189123_FJ467493	Caribbean
AB189123_FJ467493	Eastern Asia
AB189123_FJ467493	South America
AB189123_FJ467493	South-eastern Asia
AB189123_FJ467493	Southern Asia
EF105378_FJ467493	Africa
EF105378_FJ467493	Eastern Asia
EF105378_FJ467493	South America
EF105378_FJ467493	South-eastern Asia
AB189123_JQ922552.1	South-eastern Asia
AB189123_JQ922552.1	Southern Asia
EF105379_FJ467493	South-eastern Asia
EF105378_EF105388	Africa
AB189123_FM210234.1	South-eastern Asia
AF100465_JQ922552.1	Southern Asia
EF105379_EF105379.2	South-eastern Asia
FJ467493	South-eastern Asia
0.648	Africa
EF105387_EF105388	Africa
AF100460_FM210234.1	South-eastern Asia
AB189123_JX475906.1	South-eastern Asia
0.816	Southern Asia
JQ922552_JQ922552.1	Southern Asia
EF105379.2	South-eastern Asia
EF105379.1	South-eastern Asia
EF105379	South-eastern Asia
EF105378_EF457904	Africa
EF105385	Africa
EF105387	Africa
EF105388	Africa
AF100466_FM210234.1	South-eastern Asia
AF100460_KJ734727	South-eastern Asia
0.984	South-eastern Asia
AF276619_JX475906.1	Southern Asia
JQ922550_JQ922553.2	Southern Asia
AF100465_HM582107	Caribbean
AF100465_HM582107	Oceania
JQ922552.1	Southern Asia
JQ922552	Southern Asia
EF105389_EF457904	Africa
EF105378	Africa
AF100466_JN819419	Caribbean
AF119661_FM210234.1	South-eastern Asia
AF204178_KJ734727	Oceania
AF204178_KJ734727	South-eastern Asia
AF100460_M84728	South-eastern Asia
GQ398262_GU131843	South-eastern Asia
AB189123_JN851127	South-eastern Asia
AF276619_JQ922549	Southern Asia
JX475906_JX475906.1	Southern Asia
JQ922553_JQ922553.2	Southern Asia
JQ922550	Southern Asia
AF100465_EU056812	Caribbean
HM582107	Oceania
EF105389_EF105389.2	Africa
EF457904	Africa
AF208496_JN819419	Caribbean
0.958	Caribbean
FJ639697_FM210234.1	South-eastern Asia
AF119661_AF119661.1	Eastern Asia
AF204178_M29095	Oceania
KJ734727	Eastern Asia
AF100460_AJ487271	South-eastern Asia
M84728	South-eastern Asia
GU131843	Africa
GQ398262	South-eastern Asia
AY858035_JN851127	South-eastern Asia
AB189123_JN851131	South-eastern Asia
0.961	Southern Asia
DQ448231_JQ922549	Southern Asia
JX475906.1	Southern Asia
JX475906	Southern Asia
JQ922553.2	Southern Asia
JQ922553.1	Southern Asia
JQ922553	Southern Asia
AF100465_GQ868600.1	Caribbean
EU056812	Caribbean
EF105389.2	Africa
EF105389.1	Africa
EF105389	Africa
AF208496_EU920828.1	Caribbean
EU482545_JN819419	Caribbean
AF100466_GQ868603	Caribbean
0.941	Caribbean
FJ639697_JX649148	South-eastern Asia
0.598	South-eastern Asia
AF119661.1	Eastern Asia
AF119661	Eastern Asia
M29095	Oceania
AF204178	Eastern Asia
AF100460_DQ181804	South-eastern Asia
