node	Location
AF100461_EU003591	Africa
AF100461_EU003591	Caribbean
AF100461_EU003591	Eastern Asia
AF100461_EU003591	Oceania
AF100461_EU003591	South America
AF100461_EU003591	South-eastern Asia
AF100461_EU003591	Southern Asia
EF105378_EU003591	Africa
AF100461_GQ398257.2	South-eastern Asia
AF100461_GQ398257.2	Southern Asia
0.645	Africa
EF105387_EU003591	Africa
AF100461_JX475906.1	South-eastern Asia
AF100465_GQ398257.2	South-eastern Asia
AF100465_GQ398257.2	Southern Asia
EF105378_EF457904.2	Africa
EF105385_EF105385.1	Africa
EU003591	Africa
EF105387	Africa
AF100461_JX649148	South-eastern Asia
AY037116_JX475906.1	South-eastern Asia
GQ398257_GQ398257.2	South-eastern Asia
AF100465_JQ922552	Southern Asia
EF105389_EF457904.2	Africa
EF105378_EF105383.3	Africa
EF105385.1	Africa
EF105385	Africa
AF100466_JX649148	South-eastern Asia
AF100461_KJ734727.1	South-eastern Asia
AY037116_GU131843.1	South-eastern Asia
FJ882602_JX475906.1	Southern Asia
GQ398257.2	South-eastern Asia
GQ398257.1	South-eastern Asia
GQ398257	South-eastern Asia
AF100465_JQ922550	Southern Asia
JQ922552	Southern Asia
EF105389_JF260983.1	Africa
EF457904_EF457904.2	Africa
EF105383_EF105383.3	Africa
EF105378	Africa
AF100466_JN819419	Caribbean
EU482449_JX649148	South-eastern Asia
AF204178_KJ734727.1	Eastern Asia
AF204178_KJ734727.1	Oceania
AF204178_KJ734727.1	South-eastern Asia
AF100461_M84728	South-eastern Asia
GQ398259_GU131843.1	South-eastern Asia
AY037116_FJ196852	South-eastern Asia
0.301	Southern Asia
JX475906_JX475906.1	Southern Asia
0.973	Oceania
0.973	South America
0.973	Southern Asia
JQ922550	Southern Asia
JF260983_JF260983.1	Europe
EF105389	Africa
EF457904.2	Africa
EF457904.1	Africa
EF457904	Africa
EF105383.3	Africa
EF105383.2	Africa
EF105383.1	Africa
EF105383	Africa
AF208496_JN819419	Caribbean
AF100466_EU529701	Caribbean
FJ639701_JX649148	South-eastern Asia
EU482449_FM210237.1	South-eastern Asia
AF204178_M29095.1	Oceania
KJ734727_KJ734727.1	Eastern Asia
AF100461_AJ487271	South-eastern Asia
M84728	South-eastern Asia
GU131843_GU131843.1	Africa
GQ398259_GQ398259.1	South-eastern Asia
AY037116_FJ196854	South-eastern Asia
DQ645550_FJ196852	Eastern Asia
FJ898454_KF041236	Southern Asia
FJ882602	Southern Asia
JX475906.1	Southern Asia
JX475906	Southern Asia
AF100465_GQ868592	Central America
AF100465_GQ868592	South America
HM582115	Oceania
JF260983.1	Europe
JF260983	Europe
AF208496_GQ868553.1	Caribbean
EU482545_JN819419	Caribbean
EU482572_EU529701	Caribbean
0.770	Caribbean
0.201	South-eastern Asia
FJ639701	South-eastern Asia
FM210213_FM210237.1	South-eastern Asia
EU482449_FM210227	South-eastern Asia
AF204178_AF204178.2	Eastern Asia
M29095_M29095.1	Oceania
KJ734727.1	Eastern Asia
KJ734727	Eastern Asia
AF100461_DQ181804.2	South-eastern Asia
AJ487271	South-eastern Asia
GU131843.1	Africa
GU131843	Africa
GQ398259.1	South-eastern Asia
GQ398259	South-eastern Asia
0.985	South-eastern Asia
FJ196854	Eastern Asia
DQ645550	Eastern Asia
FJ196852	Eastern Asia
FJ898454_JQ955623	Southern Asia
KF041236	Southern Asia
AF100465_FJ898449.2	Central America
AF100465_FJ898449.2	South America
AF100467_GQ868592	South America
EU482444_GQ868553.1	Caribbean
EU482444_GQ868553.1	South America
0.392	Caribbean
EU920834_JN819419	South America
EU482545	Caribbean
EU529701	Caribbean
EU482572	Caribbean
M20558_M20558.1	Caribbean
0.978	Caribbean
JX649148	South-eastern Asia
FJ639702	South-eastern Asia
0.808	South-eastern Asia
FM210237_FM210237.1	South-eastern Asia
EU482449_FM210218	South-eastern Asia
FM210204_FM210227	South-eastern Asia
AF204178.2	Eastern Asia
AF204178.1	Eastern Asia
AF204178	Eastern Asia
M29095.1	Oceania
M29095	Oceania
AF100461_EU726767.1	South-eastern Asia
DQ181804_DQ181804.2	South-eastern Asia
AY858035_JN851127	South-eastern Asia
AY037116_AY037116.2	Oceania
FJ898454_JQ922549.3	Southern Asia
JQ955623	Southern Asia
0.524	Central America
AF100465	South America
AF100467_AF100468	South America
GQ868592	South America
EU482444_GU131959	Central America
0.947	South America
EU677142_EU677142.1	Caribbean
AF208496_EU920849.1	Caribbean
EU920834_EU920835	South America
EU920840_JN819419	South America
M20558.1	Caribbean
M20558	Caribbean
AF100466_FJ898450	Caribbean
EU482561_EU482576.1	Caribbean
FM210235_FM210235.2	South-eastern Asia
0.359	South-eastern Asia
FM210237.1	South-eastern Asia
FM210237	South-eastern Asia
