node	Location
AF100460_FJ467493.1	Africa
AF100460_FJ467493.1	Caribbean
AF100460_FJ467493.1	Eastern Asia
AF100460_FJ467493.1	South America
AF100460_FJ467493.1	South-eastern Asia
EF105378_FJ467493.1	Africa
EF105378_FJ467493.1	Caribbean
EF105378_FJ467493.1	Eastern Asia
EF105378_FJ467493.1	South America
EF105378_FJ467493.1	South-eastern Asia
AF100460_GQ398257.1	South-eastern Asia
EF105379_FJ467493.1	South-eastern Asia
EF105378_EF105388	Africa
AF100460_GU131843	South-eastern Asia
AF100465_GQ398257.1	Caribbean
AF100465_GQ398257.1	South-eastern Asia
AF100465_GQ398257.1	Southern Asia
EF105379_EF105379.1	South-eastern Asia
FJ467493_FJ467493.1	South-eastern Asia
EF105378_EF457904	Africa
EF105387_EF105388	Africa
AF100460_M20558.1	South-eastern Asia
AF276619_GU131843	South-eastern Asia
AF100465_JQ922553	Caribbean
AF100465_JQ922553	Central America
AF100465_JQ922553	South America
AF100465_JQ922553	South-eastern Asia
AF100465_JQ922553	Southern Asia
GQ398257_GQ398257.1	South-eastern Asia
EF105379.1	South-eastern Asia
EF105379	South-eastern Asia
FJ467493.1	South-eastern Asia
FJ467493	South-eastern Asia
EF105389_EF457904	Africa
EF105378_EF105380	Africa
0.918	Africa
EF105388	Africa
AF119661_M20558.1	South-eastern Asia
AF100460_KJ734727	South-eastern Asia
AY037116_GU131843	South-eastern Asia
AF276619_FJ882602.1	Southern Asia
AF100465_EU056812	Caribbean
AF100465_EU056812	Central America
AF100465_EU056812	South America
AF100465_EU056812	Southern Asia
JQ922553	Southern Asia
GQ398257.1	South-eastern Asia
GQ398257	South-eastern Asia
0.978	Africa
EF457904	Africa
EF105378_EF105378.1	Africa
EF105380	Africa
EF105387	Africa
EU003591	Africa
AF208496_M20558.1	Caribbean
AF119661_DQ181801	South-eastern Asia
KF704355_KJ734727	Oceania
KF704355_KJ734727	South-eastern Asia
AF100460_M84728	South-eastern Asia
AY037116_GQ398263.2	South-eastern Asia
GQ398262_GU131843	South-eastern Asia
AF276619_JQ955623	Southern Asia
FJ882602_FJ882602.1	Southern Asia
AF100465_GQ868592	Central America
AF100465_GQ868592	South America
EU056812	Caribbean
EF105389_EF105389.1	Africa
JF260983	Europe
EF105378.1	Africa
EF105378	Africa
0.377	Caribbean
M20558_M20558.1	Caribbean
AF119661_FJ639701	South-eastern Asia
DQ181801	South-eastern Asia
KF704355_M29095	Oceania
KJ734727	Eastern Asia
AF100460_AJ487271	South-eastern Asia
M84727_M84728	South-eastern Asia
AY037116_JN851131	South-eastern Asia
GQ398263_GQ398263.2	South-eastern Asia
GU131843	Africa
GQ398262	South-eastern Asia
DQ448231_JQ955623	Southern Asia
AF276619_KF041236.2	Southern Asia
FJ882602.1	Southern Asia
FJ882602	Southern Asia
AF100465_FJ898449	Central America
AF100465_FJ898449	South America
AF100467_GQ868592	South America
EF105389.1	Africa
EF105389	Africa
AF208496_EU482575	Caribbean
EU482572_GQ398284	Caribbean
M20558.1	Caribbean
M20558	Caribbean
EU482449_FJ639701	South-eastern Asia
AF119661	Eastern Asia
KF704355	Caribbean
M29095	Oceania
AF100460_EU726767.1	South-eastern Asia
AJ487271	South-eastern Asia
M84727_M84727.2	South-eastern Asia
M84728	South-eastern Asia
AY037116_FJ196854	South-eastern Asia
DQ645550_JN851131	South-eastern Asia
GQ398263.2	South-eastern Asia
GQ398263.1	South-eastern Asia
GQ398263	South-eastern Asia
DQ448231_KJ830750.1	Southern Asia
JQ955623	Southern Asia
KF041236_KF041236.2	Southern Asia
AF276619_AF276619.1	Eastern Asia
0.308	Central America
0.308	South America
FJ898449	Central America
AF100467_AF100468	South America
GQ868592	South America
AF208496_JN819419.1	Caribbean
0.967	Caribbean
EU482572_EU482572.1	Caribbean
GQ398284	Caribbean
0.958	South-eastern Asia
FJ639701	South-eastern Asia
AF100462_EU726767.1	South-eastern Asia
0.988	South-eastern Asia
M84727.2	South-eastern Asia
M84727.1	South-eastern Asia
M84727	South-eastern Asia
AY037116_AY037116.1	Oceania
FJ196853_FJ196854	Eastern Asia
AY858035_KC131142	South-eastern Asia
DQ645550	Eastern Asia
JN851131	South-eastern Asia
0.983	Southern Asia
DQ448231	Southern Asia
KF041236.2	Southern Asia
KF041236.1	Southern Asia
KF041236	Southern Asia
AF276619.1	Eastern Asia
AF276619	Eastern Asia
AF100465_AF100465.1	South America
JX966379	Central America
AF100467_AF100467.1	South America
AF100468	South America
AF208496_EU920828	Caribbean
EU482545_JN819419.1	Caribbean
EU482551_GQ868552.1	Caribbean
EU482561_EU482575	Caribbean
EU482572.1	Caribbean
EU482572	Caribbean
FM210208_FM210237	South-eastern Asia
EU482449_FM210227	South-eastern Asia
AF100462_AF100462.2	South-eastern Asia
EU726767_EU726767.1	South-eastern Asia
AF100460_EU687246	South-eastern Asia
DQ181799_GQ868542.1	South-eastern Asia
AY037116.1	Oceania
AY037116	Oceania
FJ196853_FJ196853.2	Eastern Asia
FJ196854	Eastern Asia
AY858035_JN851128	South-eastern Asia
AY858036_KC131142	South-eastern Asia
KJ010186_KJ830750.1	Southern Asia
JQ955624_JQ955624.3	Southern Asia
AF100465.1	South America
AF100465	South America
AF100467.1	South America
AF100467	South America
EU482605_EU920828	South America
0.341	Caribbean
EU920834_JN819419.1	South America
EU482545_EU482545.1	Caribbean
EU482551_GQ398282.1	Caribbean
EU569708_GQ868552.1	South America
0.957	Caribbean
EU482575	Caribbean
FM210208_FM210234.2	South-eastern Asia
FM210237	South-eastern Asia
EU482449_FM210218	South-eastern Asia
FM210227	South-eastern Asia
AF100462.2	South-eastern Asia
AF100462.1	South-eastern Asia
AF100462	South-eastern Asia
EU726767.1	South-eastern Asia
EU726767	South-eastern Asia
AF100460_FJ639828	South-eastern Asia
DQ181798_EU687246	South-eastern Asia
GQ868542_GQ868542.1	South-eastern Asia
DQ181799_FJ906957.1	South-eastern Asia
FJ196853.2	Eastern Asia
FJ196853.1	Eastern Asia
FJ196853	Eastern Asia
0.684	South-eastern Asia
AY858035_JX470186	South-eastern Asia
AY858036_AY858036.1	South-eastern Asia
KC131142	Eastern Asia
KJ830750_KJ830750.1	Western Asia
KJ010186	Southern Asia
JQ955624.3	Southern Asia
JQ955624.2	Southern Asia
JQ955624.1	Southern Asia
JQ955624	Southern Asia
EU482605_FJ898461.1	South America
EU920828	South America
EU482546_EU677142	Caribbean
AF208496_EU920849.2	Caribbean
EU920834_EU920835.2	South America
EU920840_JN819419.1	South America
EU482545.1	Caribbean
EU482545	Caribbean
EU482551_GQ398270.1	Caribbean
GQ398282_GQ398282.1	Caribbean
0.969	South America
0.767	South America
EU482561_GQ398291.1	Caribbean
EU482744	Caribbean
